Capacity   Distance		Time	Fuel
2555	6		12	1
2675	5		11	1
2555	4		8	2
2675	4		12	1
2552	3		9	2
2555	7		8	2
2552	7		12	2
2555	6		10	1
2552	4		9	2
2555	5		11	2
2555	5		7	1
2555	7		12	1
2555	6		9	1
2599	2		7	1
2555	5		11	2
2555	5		12	2
2555	3		7	2
2615	2		9	2
2510	5		10	1
2592	4		11	2
2592	5		10	2
2541	3		9	1
2620	4		7	1
2541	7		9	2
2541	4		9	2
2541	2		9	1
2541	5		9	2
2541	2		8	2
2638	2		8	1
2541	3		10	1
2541	6		12	1
2617	7		11	1
2624	4		11	1
2624	2		9	1
2624	3		12	2
2624	4		9	1
2619	4		8	1
2585	3		12	2
2624	7		10	1
2619	5		8	1
2585	3		9	2
2619	5		7	2
2585	4		7	1
2619	4		11	2
2619	2		7	2
2619	2		8	1
2619	6		12	1
2619	7		7	2
2649	7		9	2
2641	2		9	2
2579	7		10	2
2590	4		7	1
2590	4		8	1
2591	5		8	2
2591	7		11	1
2591	3		10	2
2591	6		11	1
2527	4		11	2
2591	2		8	2
2527	2		9	1
2527	2		9	2
2527	2		9	2
2636	6		10	1
2569	6		11	2
2569	2		9	2
2617	4		12	2
2569	7		9	1
2617	5		7	2
2617	2		7	2
2515	2		8	2
2617	2		8	2
2617	7		8	2
2617	4		12	2
2617	2		7	2
2617	4		11	1
2617	4		7	2
2515	6		11	2
2504	4		10	2
2504	7		9	1
2558	6		8	2
2551	4		12	2
2551	7		9	1
2551	3		11	2
2672	2		7	1
2551	4		11	2
2551	5		11	1
2551	3		9	2
2551	4		9	1
2565	5		8	2
2551	5		12	2
2565	6		12	2
2565	7		12	2
2565	2		9	2
2517	3		10	1
2542	2		10	1
2528	4		12	1
2528	7		11	2
2528	3		11	2
2536	4		10	2
2528	4		8	2
2528	6		9	2
2528	4		10	1
2528	6		9	1
2528	3		12	1
2599	6		10	2
2575	4		12	1
2513	4		8	2
2513	7		8	1
2513	2		10	2
2513	4		8	1
2513	5		12	1
2648	6		12	1
2648	7		10	2
2648	2		9	1
2648	3		11	2
2648	7		11	2
2546	4		10	1
2648	3		9	1
2648	2		11	1
2531	2		9	2
2513	5		10	2
2513	3		11	1
2526	5		10	1
2513	6		11	1
2526	2		8	2
2526	6		9	2
2569	3		10	1
2526	6		7	2
2569	6		8	2
2569	5		10	2
2569	5		7	2
2569	3		11	1
2503	5		11	2
2569	7		12	2
2503	2		9	2
2569	5		12	2
2569	2		10	2
2569	6		9	1
2611	3		11	2
2569	3		10	2
2611	7		8	2
2611	5		10	2
2642	3		12	2
